actual,predicted
8.6,18.75650621537357
25.6,50.78556361146808
6.5,37.02838111391359
30.0,22.717719120383066
2.0,21.619106957816953
24.3,21.06636014024356
99.8,38.20408592192724
54.1,22.204320874647387
20.8,22.912816581548398
17.7,27.622063901783974
25.9,29.95015296749815
0.8,10.61028656268434
19.2,18.645341972441088
104.1,31.409691317637048
44.2,28.135084968573153
4.1,22.34921999904377
20.7,18.7867610184123
1.8,14.280627282421552
3.2,11.238671359750004
28.7,32.184074901361505
18.6,28.222129317949367
66.2,25.676935999840325
34.8,22.874998246276277
85.6,27.317443925731688
40.7,27.163986136340526
9.5,13.103655505385783
15.9,25.102926375501816
-0.4,-0.3985338324482699
27.4,19.499896823336492
81.2,35.50317009474748
77.4,24.99782972273728
74.1,26.98306057404276
15.3,13.310313889105375
33.0,20.957465774258225
47.1,26.51755599786545
28.7,17.415134810813456
1.8,14.280627282421552
-2.2,-0.3985338324482699
-0.6,-0.3985338324482699
-0.4,-0.3985338324482699
60.9,26.790793025858065
69.3,25.437191769495186
10.9,15.641100986146814
23.6,25.46950399866048
6.5,98.66547773830014
