actual,predicted
1.81,1.6346096942145067
2.3,2.8683234847620462
-0.28,0.19878753599069432
1.89,1.7640377560664948
0.62,2.4054885692504175
1.22,3.8395875261796615
1.75,1.4532987140672307
-0.11,0.522882474122696
1.79,1.5219774118230094
0.58,2.2323872414175714
4.14,3.7112454288549417
1.85,1.643163769301644
1.99,2.1070324973793912
2.35,2.960149143383025
-0.11,0.5185625192620572
1.37,0.45812552587963185
0.54,2.1674890474810073
0.24,1.3848834941622976
0.59,2.234943794114229
7.03,3.4325719465479096
1.87,1.7444105370848388
1.0,3.341916456474271
4.39,4.2823399756882825
0.28,1.5439542041408687
3.68,2.528054248433949
2.12,2.370811587920242
0.4,1.8143713140026736
0.27,1.442225570172712
1.58,0.9803940447173847
1.73,1.302706567149249
-0.17,0.41887108791632033
3.38,1.7514109063485852
5.26,2.683641614052181
3.54,2.2173152064346846
0.42,1.8011186354261643
2.4,3.119089472393761
3.9,3.1113394125649645
0.22,1.3626432239935926
0.27,1.442225570172712
0.94,3.1987696042987572
4.25,3.986815844979473
3.68,2.5374302670144733
0.8,2.8498664343277316
0.76,2.7118832099575743
0.01,0.8811844795566094
1.6,1.0000212636990407
3.67,2.4570259773419667
3.91,3.1044878946221734
5.08,2.2973794187987657
10.28,4.0349046777497435
1.12,3.6730715225235846
5.33,2.8529320155559947
1.82,1.6648281909057194
1.85,1.6620700906789616
0.2,1.2956638242839487
3.09,0.9188412074809085
0.26,1.4751538174107799
2.03,2.1300181115839036
0.76,2.728992447562881
0.3,1.6183973689461002
4.99,2.022300647218791
2.13,2.3834797248736352
0.49,2.0662227229786216
4.2,3.8805265951821957
5.59,3.5170810618451505
0.09,1.122932453086311
0.77,2.7688808631952817
3.78,2.744405103037228
3.45,1.945348736213771
2.39,3.0531656147015678
0.31,1.5630995569375628
1.16,3.777350189927014
5.45,3.205916652151317
1.81,1.5630995569375628
0.95,3.224806675907656
1.87,1.7444105370848388
2.29,2.7466851393602716
0.53,2.1275680366066476
1.7,1.263307080146229
1.87,1.7444105370848388
0.08,1.0212038191181543
0.35,1.6567043721604682
5.46,3.292552606986365
0.38,1.7437336426311605
3.71,2.586662649168475
1.64,1.1885086278426242
1.69,1.244277440245496
1.43,0.6394365060269079
1.71,1.33242472730238
0.56,2.186037364379814
0.69,2.5543526251615525
5.5,3.3011066820735024
2.25,2.698773950871668
0.79,2.7610009655816854
2.1,2.3310861484976346
6.85,2.975249428143589
2.52,3.3713113801229913
2.07,2.2671609221075535
1.85,1.643163769301644
2.77,0.15594055896750525
4.96,1.9755672329049836
3.43,1.916583443704897
2.49,3.3183294598426283
-0.17,0.41887108791632033
0.3,1.5714944591611144
1.94,1.9559400139233274
-0.36,-0.042960437539007135
0.29,1.538858482734605
1.26,3.996485763920661
1.7,1.296848660903163
5.52,3.4186222736154965
3.53,2.087779036249229
5.2,2.6187662369979794
0.87,3.0205861367654503
1.97,2.0271671155652737
0.49,2.0163965640249435
2.38,2.9171033358098724
0.41,1.8244747494489202
3.47,1.9654898734393116
2.08,2.23008384502913
2.57,3.471826384511221
1.85,1.6173727915565415
1.25,0.17712311438661887
0.26,1.4835172107584433
3.29,1.5741727008320814
0.39,1.8048475304672642
-0.43,-0.3432559678485603
0.81,2.8604191407169806
5.13,2.397216442367246
1.77,1.4639578981758812
-0.31,-0.07961757981817486
0.89,3.037901810548175
1.7,1.3022062306111672
-0.13,0.4959463174447565
-0.27,0.03506657220265463
3.63,2.427245886868091
0.69,2.4857097817459435
0.67,2.4948228656586577
0.56,2.2369424254163404
3.63,2.3769617649778856
0.35,1.6488315369912911
1.88,1.7879251723201852
0.23,1.3928617206848053
3.7,2.5476814674156048
0.12,1.0557210833367479
3.92,3.171678620221514
2.1,2.357816412181191
1.67,1.16058918101061
0.51,2.093616299410053
4.75,1.4312806345138878
3.59,2.3020763916740705
3.1,1.0140274351218466
2.55,3.411389391128796
2.03,2.1117647814118303
2.02,2.058564472797352
-0.76,-1.2517003051875142
0.7,2.621837251121556
0.09,1.1257008748556991
1.74,1.423080217376018
0.51,2.1674694907618166
-0.15,0.4525044783207822
3.68,2.577219267371892
2.85,4.205624380187463
1.57,0.9878578098129722
3.89,3.009512992870932
3.73,2.648006876430431
3.9,3.0809666316574837
-0.25,0.22495716129956855
3.48,2.0266613461318785
1.62,1.1526788619521573
0.29,1.5026625635551374
0.21,1.3355522399163495
2.68,3.722683095424393
2.21,2.6465672539538954
0.15,1.07960360987816
0.21,1.33242472730238
3.16,1.174789837519098
5.37,3.0205861367654503
0.23,1.2946131709138153
-0.09,0.5772757681668786
0.36,1.7238619593348141
-0.09,0.541227613942296
1.83,1.6440851280700128
0.3,1.5498034183934293
0.1,1.0676346410777737
2.25,2.683967566471768
0.71,2.6095140801239056
4.94,1.9151302395225582
5.42,3.171678620221514
1.82,1.6749305399858954
0.81,2.880084931018944
5.25,2.7395837252724373
3.19,1.2719877339199546
8.06,2.165432288139397
2.57,3.5126361589119908
5.91,4.4067320747875725
1.96,1.9755672329049836
0.43,1.925721517232115
0.4,1.8005444164106403
-0.41,-0.3063728326727837
-0.41,-0.3818025467303017
0.33,1.6235365503199881
0.5,2.102108987359481
2.19,2.5543526251615525
2.0,2.0803201608659196
0.14,1.1617050248646608
3.32,1.549209098410718
2.11,2.3588871654535506
2.55,3.4662053369523713
5.29,2.8196479376365184
3.18,1.280324508104008
0.45,2.0332330886028442
0.46,1.9014440444409901
1.63,1.1683033864992367
0.47,2.0057857295961963
